chr	locA	locB	strand	gene_Symbol	score
chr2L	13519	15711	-	l(2)gl	0
chr2L	18260	20015	-	l(2)gl	0
chr2L	18260	20020	-	l(2)gl	0
chr2L	74902	75366	+	galectin	0
chr2L	96552	96666	+	CG11376	0
chr2L	164158	175447	+	spen	0
chr2L	192761	193041	-	spen	0
chr2L	196967	197141	+	spen	0
chr2L	227371	228281	-	kis	0
chr2L	227371	231034	-	kis	0
chr2L	229172	231034	-	kis	0
chr2L	230537	231034	-	kis	0
chr2L	235139	235377	-	kis	0
chr2L	236060	236311	+	kis	0
chr2L	299032	299918	+	Pi3K21B	0
chr2L	317742	318120	+	Plc21C	0
chr2L	317742	325824	+	Plc21C	0
chr2L	317742	334257	+	Plc21C	0
chr2L	335414	338118	+	Plc21C	0
chr2L	336017	337198	+	Plc21C	0
chr2L	337937	340855	+	Plc21C	0
chr2L	443081	491358	+	ex	0
chr2L	545815	546443	+	nAcRbeta-21C	0
chr2L	829456	830349	+	dock	0
chr2L	930064	930423	+	CG4341	0
chr2L	951586	953510	+	CG4341	0
chr2L	1061233	1062213	-	S	0
chr2L	1087694	1088106	-	CG4629	0
chr2L	1116440	1117516	-	Pino	0
chr2L	1146543	1146825	+	CG4726	0
chr2L	1158949	1159193	-	Tango14	0
chr2L	1191402	1192625	+	CG5001	0
chr2L	1288132	1289728	+	robo3	0
chr2L	1394191	1397252	-	lea	0
chr2L	1395902	1397252	-	lea	0
chr2L	1595059	1596421	-	CG31935	0
chr2L	1604197	1604885	+	CG14351	0
chr2L	1652774	1653835	+	chinmo	0
chr2L	1690116	1690755	+	chinmo	0
chr2L	1741632	1742260	+	CG17646	0
chr2L	1741632	1743779	+	CG17646	0
chr2L	1741632	1748874	+	CG17646	0
chr2L	1741659	1742260	+	CG17646	0
chr2L	1741659	1743540	+	CG17646	0
chr2L	1741659	1743779	+	CG17646	0
chr2L	1741659	1745361	+	CG17646	0
chr2L	1741659	1746029	+	CG17646	0
chr2L	1741659	1748874	+	CG17646	0
chr2L	1743344	1743779	+	CG17646	0
chr2L	1743344	1745361	+	CG17646	0
chr2L	1743344	1746029	+	CG17646	0
chr2L	1743344	1747860	+	CG17646	0
chr2L	1743429	1743762	-	CG17646	0
chr2L	1743693	1745075	+	CG17646	0
chr2L	1744922	1745361	+	CG17646	0
chr2L	1744922	1746029	+	CG17646	0
chr2L	1744922	1747860	+	CG17646	0
chr2L	1744922	1748874	+	CG17646	0
chr2L	1745749	1745972	-	CG17646	0
chr2L	1745752	1748830	+	CG17646	0
chr2L	1747691	1748874	+	CG17646	0
chr2L	1842898	1848213	+	CG31665	0
chr2L	1851691	1852150	+	CG31665	0
chr2L	1851691	1854308	+	CG31665	0
chr2L	1853453	1855797	+	CG31665	0
chr2L	1855363	1855797	+	CG31665	0
chr2L	1909668	1910149	+	CG7337	0
chr2L	2000933	2002920	-	CG33543	0
chr2L	2135960	2136196	-	GlyP	0
chr2L	2150003	2150147	+	CG7261	0
chr2L	2170778	2171198	-	aop	0
chr2L	2323382	2324256	+	eys	0
chr2L	2323382	2327552	+	eys	0
chr2L	2338379	2341094	+	eys	0
chr2L	2338379	2347179	+	eys	0
chr2L	2381155	2381307	-	CG9867	0
chr2L	2455056	2455938	+	dpp	0
chr2L	2495373	2495888	+	oaf	0
chr2L	2710498	2712136	+	CG31690	0
chr2L	2756059	2756170	+	CG9894	0
chr2L	2785538	2787162	-	syt	0
chr2L	2785538	2798836	-	syt	0
chr2L	2792194	2793908	-	syt	0
chr2L	2793174	2798836	-	syt	0
chr2L	2808979	2810643	+	daw	0
chr2L	2864968	2865577	+	CG2991	0
chr2L	2870688	2871688	-	CG31694	0
chr2L	3061551	3061673	+	CG3523	0
chr2L	3062229	3062544	-	CG3523	0
chr2L	3067649	3067914	-	CG3523	0
chr2L	3080650	3081268	-	toc	0
chr2L	3080650	3098065	-	toc	0
chr2L	3094216	3098065	-	toc	0
chr2L	3097921	3098065	-	toc	0
chr2L	3367244	3368194	-	CG34394	0
chr2L	3501171	3502126	-	tim	0
chr2L	3638938	3640517	-	for	0
chr2L	3678210	3678464	+	CG34340	0
chr2L	3678210	3684633	+	CG34340	0
chr2L	3683866	3684633	+	CG34340	0
chr2L	3763648	3765359	+	CG31772	0
chr2L	3763648	3766043	+	CG31772	0
chr2L	3929306	3930035	-	fred	0
chr2L	4074513	4080022	+	ed	0
chr2L	4079503	4080022	+	ed	0
chr2L	4107435	4107804	+	ed	0
chr2L	4191774	4192968	-	CG3714	0
chr2L	4192632	4195100	-	CG3714	0
chr2L	4212416	4217976	-	ft	0
chr2L	4303335	4308859	+	tutl	0
chr2L	4303335	4318708	+	tutl	0
chr2L	4312027	4314615	+	tutl	0
chr2L	4336449	4336957	+	Atet	0
chr2L	4391755	4391864	+	Tps1	0
chr2L	4487448	4489113	-	dp	0
chr2L	4496246	4513761	-	dp	0
chr2L	4496297	4496418	+	dp	0
chr2L	4504776	4513761	-	dp	0
chr2L	4526223	4532386	-	dp	0
chr2L	4530530	4548802	-	dp	0
chr2L	4570478	4571085	-	dp	0
chr2L	4570478	4574342	-	dp	0
chr2L	4688188	4688314	+	CG15634	0
chr2L	4854397	4866130	+	CG31660	0
chr2L	4865147	4866130	+	CG31660	0
chr2L	4873871	4875139	+	CG31660	0
chr2L	4987906	4991262	+	CG34126	0
chr2L	4990307	4991262	+	CG34126	0
chr2L	5036812	5036918	-	Cg25C	0
chr2L	5036812	5036924	-	Cg25C	0
chr2L	5041688	5042887	-	CG31650	0
chr2L	5041688	5042890	-	CG31650	0
chr2L	5077534	5079574	-	pgant5	0
chr2L	5146992	5148882	+	Msp-300	0
chr2L	5154247	5155849	+	Msp-300	0
chr2L	5168403	5168504	-	Msp-300	0
chr2L	5204462	5204903	+	Msp-300	0
chr2L	5274018	5275780	-	Bsg25D	0
chr2L	5527547	5527655	-	CG31648	0
chr2L	5605841	5606167	-	CG14010	0
chr2L	5608790	5611289	-	CG14010	0
chr2L	5640286	5640663	-	CG31646	0
chr2L	5640286	5641952	-	CG31646	0
chr2L	5845304	5845952	+	CG34381	0
chr2L	5850830	5853258	+	CG34381	0
chr2L	5947017	5947332	+	Gpdh	0
chr2L	5976610	5979704	-	chic	0
chr2L	5985079	5985496	-	eIF-4a	0
chr2L	5985372	5985496	-	eIF-4a	0
chr2L	5987796	5988107	+	ifc	0
chr2L	6196543	6196996	+	CG34380	0
chr2L	6203178	6203618	+	CG34380	0
chr2L	6289764	6291378	+	Ddr	0
chr2L	6290543	6291378	+	Ddr	0
chr2L	6301153	6303850	+	Ddr	0
chr2L	6391127	6408560	-	CG42368	0
chr2L	6394836	6408560	-	CG42368	0
chr2L	6408244	6408560	-	CG42368	0
chr2L	6572195	6587143	-	CG11319	0
chr2L	6574015	6580510	-	CG11319	0
chr2L	6574015	6587143	-	CG11319	0
chr2L	6576040	6579381	-	CG11319	0
chr2L	6577377	6579381	-	CG11319	0
chr2L	6578904	6580510	-	CG11319	0
chr2L	6578904	6587143	-	CG11319	0
chr2L	6580414	6587143	-	CG11319	0
chr2L	6697009	6701944	-	Tsp	0
chr2L	6699764	6700619	-	Tsp	0
chr2L	6699764	6701944	-	Tsp	0
chr2L	6925457	6925564	+	Hrb27C	0
chr2L	7040472	7041159	+	milt	0
chr2L	7107140	7107551	-	Pvf3	0
chr2L	7209348	7209653	-	CG13784	0
chr2L	7234526	7234997	-	Ndae1	0
chr2L	7234526	7237790	-	Ndae1	0
chr2L	7381755	7381905	+	ninaC	0
chr2L	7648746	7651743	-	Slob	0
chr2L	7655053	7656463	-	Slob	0
chr2L	7655544	7656463	-	Slob	0
chr2L	7711514	7711619	+	Ntl	0
chr2L	7998975	7999167	+	CG7224	0
chr2L	7998998	7999167	+	CG7224	0
chr2L	8105691	8107880	+	Bsg	0
chr2L	8106839	8107880	+	Bsg	0
chr2L	8131286	8132194	+	CG8668	0
chr2L	8181983	8183706	+	CG8486	0
chr2L	8223824	8226606	-	Pvr	0
chr2L	8226928	8227826	-	Pvr	0
chr2L	8228493	8230331	-	Pvr	0
chr2L	8252227	8252775	-	CG8086	0
chr2L	8283408	8284220	-	Btk29A	0
chr2L	8283408	8298340	-	Btk29A	0
chr2L	8360946	8361198	-	CG7627	0
chr2L	8426873	8428067	+	Akap200	0
chr2L	8476251	8477023	+	CG13087	0
chr2L	8526619	8526756	-	lmg	0
chr2L	8563738	8564296	+	Sema-1a	0
chr2L	8654104	8656506	+	Sema-1a	0
chr2L	8664157	8665518	+	Sema-1a	0
chr2L	8734466	8735200	-	raw	0
chr2L	8915353	8916053	+	CG34398	0
chr2L	8928059	8928743	+	CG34398	0
chr2L	9154658	9156594	+	CG32982	0
chr2L	9177124	9191813	+	tai	0
chr2L	9191614	9191813	+	tai	0
chr2L	9233987	9235263	+	tai	0
chr2L	9272465	9272607	+	Ggamma30A	0
chr2L	9338425	9338755	+	Eaat1	0
chr2L	9373113	9374787	-	CG34366	0
chr2L	9405831	9406263	-	NA	0
chr2L	9503592	9504813	+	CG33298	0
chr2L	9503595	9504813	+	CG33298	0
chr2L	9555283	9556398	-	jp	0
chr2L	9722760	9727256	-	Nckx30C	0
chr2L	9732915	9733532	-	Nckx30C	0
chr2L	9854596	9854878	-	nAcRalpha-30D	0
chr2L	9869531	9870520	-	nAcRalpha-30D	0
chr2L	9869531	9878025	-	nAcRalpha-30D	0
chr2L	9905874	9906443	-	CG13124	0
chr2L	10080374	10081946	-	CG31714	0
chr2L	10126000	10127877	-	CG34048	0
chr2L	10126000	10137559	-	CG34048	0
chr2L	10409710	10410409	+	RpS27A	0
chr2L	10409710	10410434	+	RpS27A	0
chr2L	10496628	10498155	-	Myo31DF	0
chr2L	10619879	10620635	+	Trim9	0
chr2L	10619879	10625343	+	Trim9	0
